,load_node_21,load_node_98,export_node_130,export_node_68,export_node_170,export_node_108,export_node_59,renew_node_24,renew_node_154,renew_node_155,renew_node_25,renew_node_202,renew_node_86,renew_node_99,prod_gen_5,prod_gen_7,prod_gen_9,prod_gen_25,prod_gen_31,prod_gen_41,time
0,215.2788,28.1763,-13.551973,-42.135706,-1483.94299,30.327759999999998,-13.871217999999999,153.470195,0.37061700000000003,29.337907,214.27255099999996,72.803164,24.16723,11.497852,630.0,216.0,2087.0,957.0,146.0,0.0,2012-01-01 00:00:00
1,206.9927,26.2146,-11.235127,-39.463753999999994,-1426.811167,28.628956,-11.674057000000001,146.519552,0.648579,23.361666,219.07717799999998,61.440821,22.190728,14.947207,630.0,216.0,2087.0,957.0,146.0,0.0,2012-01-01 01:00:00
2,197.3522,24.4661,-11.064903,-36.113954,-1374.632122,29.129438,-8.78329,138.456806,0.44010699999999997,20.916841,192.427051,48.605581,27.805790999999996,16.096992999999998,630.0,216.0,2087.0,957.0,146.0,0.0,2012-01-01 02:00:00
3,182.1743,23.3269,-8.057087,-33.309821,-1311.463964,32.91222,-8.360663,102.313463,0.416944,16.706308,210.919682,52.81385600000001,26.79508,23.87173,630.0,216.0,1285.816619,957.0,146.0,0.0,2012-01-01 03:00:00
4,170.3825,22.899,-6.710398,-33.277878,-1285.376107,42.026312,-7.59,77.569175,0.509598,13.446541,226.05944300000002,48.605581,13.723213000000001,28.525623,630.0,216.0,1161.453333,957.0,146.0,0.0,2012-01-01 04:00:00
5,163.4111,22.8241,-11.968167999999999,-33.750251,-1256.864499,37.536153999999996,-6.717536999999999,82.851663,0.625416,11.95248,218.86978399999998,44.818133,12.083615,20.860388,630.0,216.0,1187.137617,957.0,146.0,0.0,2012-01-01 05:00:00
6,159.7063,22.9061,-14.185416,-33.848465999999995,-1267.5338800000002,28.812487,-5.332699,64.22394,1.482467,10.45842,238.29568799999998,51.340959999999995,10.399096,13.304657,630.0,216.0,1735.9627510000003,957.0,146.0,0.0,2012-01-01 06:00:00
7,157.6746,22.514,-7.571923,-32.970572,-1245.461478,6.303337,2.1960319999999998,50.60068,2.895443,9.371831,244.44837599999997,55.12840799999999,6.9626779999999995,14.180684,630.0,216.0,1610.288014,957.0,146.0,0.0,2012-01-01 07:00:00
8,147.4763,22.7774,-6.455184,-32.062082000000004,-1236.96545,2.706778,21.206081,66.453654,8.661745,42.433941,244.469218,70.15973699999999,10.405837,16.849188,589.3550799999999,216.0,0.0,191.4,146.0,0.0,2012-01-01 08:00:00
9,149.3885,24.1631,-4.704244,-28.566337,-1265.019227,13.897688,41.97287,110.78678400000001,20.134604,105.891829,252.621585,133.03493,24.563587,21.137547,0.0,216.0,0.0,0.0,10.990596,0.0,2012-01-01 09:00:00
